"","V1"
"1",12.8888888888889
"2",14.1906873614191
"3",13.5555555555556
"4",14.8558758314856
"5",12.8318584070796
"6",12.4168514412417
"7",13.3037694013304
"8",13.3333333333333
"9",10.6430155210643
"10",13.4955752212389
